Trip ID,Depart Time (s),Arrival Time (s),Trip Duration (s),Route Length (m),Waiting Time (s),Vehicle Type,Speed Factor,Congestion %
4,5.0,24.0,19.0,249.02,0.0,DEFAULT_VEHTYPE,1.08,0.0
5,5.0,24.0,19.0,342.24,0.0,DEFAULT_VEHTYPE,1.03,0.0
1,1.0,38.0,37.0,534.28,0.0,DEFAULT_VEHTYPE,1.06,0.0
13,26.0,40.0,14.0,200.64,0.0,DEFAULT_VEHTYPE,1.03,0.0
2,2.0,41.0,39.0,18.11,33.0,DEFAULT_VEHTYPE,0.94,84.61538461538461
7,12.0,43.0,31.0,48.83,19.0,DEFAULT_VEHTYPE,1.05,61.29032258064516
9,16.0,43.0,27.0,448.12,0.0,DEFAULT_VEHTYPE,0.94,0.0
19,39.0,44.0,5.0,30.3,0.0,DEFAULT_VEHTYPE,0.88,0.0
6,9.0,46.0,37.0,137.15,20.0,DEFAULT_VEHTYPE,0.83,54.054054054054056
3,4.0,48.0,44.0,358.36,10.0,DEFAULT_VEHTYPE,1.01,22.727272727272727
16,33.0,50.0,17.0,89.73,2.0,DEFAULT_VEHTYPE,1.12,11.76470588235294
21,41.0,52.0,11.0,50.35,0.0,DEFAULT_VEHTYPE,0.94,0.0
28,54.0,71.0,17.0,130.91,0.0,DEFAULT_VEHTYPE,0.97,0.0
15,31.0,88.0,57.0,844.21,0.0,DEFAULT_VEHTYPE,1.05,0.0
34,65.0,88.0,23.0,224.67,0.0,DEFAULT_VEHTYPE,0.92,0.0
10,22.0,93.0,71.0,235.25,44.0,DEFAULT_VEHTYPE,0.86,61.97183098591549
18,36.0,93.0,57.0,51.91,41.0,DEFAULT_VEHTYPE,0.93,71.9298245614035
33,63.0,93.0,30.0,483.62,0.0,DEFAULT_VEHTYPE,0.87,0.0
36,67.0,96.0,29.0,51.79,17.0,DEFAULT_VEHTYPE,1.13,58.620689655172406
41,77.0,105.0,28.0,239.25,7.0,DEFAULT_VEHTYPE,1.15,25.0
23,47.0,110.0,63.0,1023.97,0.0,DEFAULT_VEHTYPE,0.94,0.0
40,74.0,115.0,41.0,536.7,0.0,DEFAULT_VEHTYPE,1.18,0.0
8,14.0,123.0,109.0,1237.99,20.0,DEFAULT_VEHTYPE,0.89,18.34862385321101
11,24.0,127.0,103.0,1237.99,14.0,DEFAULT_VEHTYPE,1.09,13.592233009708737
45,125.0,129.0,4.0,21.96,0.0,DEFAULT_VEHTYPE,1.17,0.0
49,92.0,130.0,38.0,93.57,21.0,DEFAULT_VEHTYPE,1.02,55.26315789473685
68,130.0,131.0,1.0,0.0,0.0,DEFAULT_VEHTYPE,1.17,0.0
35,66.0,133.0,67.0,422.19,32.0,DEFAULT_VEHTYPE,0.95,47.76119402985074
17,33.0,134.0,101.0,816.05,46.0,DEFAULT_VEHTYPE,0.99,45.54455445544555
52,100.0,135.0,35.0,129.49,8.0,DEFAULT_VEHTYPE,1.1,22.857142857142858
27,53.0,136.0,83.0,1237.99,1.0,DEFAULT_VEHTYPE,1.01,1.2048192771084338
51,97.0,136.0,39.0,253.17,8.0,DEFAULT_VEHTYPE,1.18,20.51282051282051
58,115.0,137.0,22.0,393.9,0.0,DEFAULT_VEHTYPE,1.09,0.0
32,62.0,141.0,79.0,1264.38,0.0,DEFAULT_VEHTYPE,0.83,0.0
62,123.0,141.0,18.0,152.14,0.0,DEFAULT_VEHTYPE,1.0,0.0
57,107.0,146.0,39.0,360.62,11.0,DEFAULT_VEHTYPE,0.96,28.205128205128204
25,49.0,147.0,98.0,665.63,36.0,DEFAULT_VEHTYPE,1.02,36.734693877551024
59,115.0,147.0,32.0,73.32,11.0,DEFAULT_VEHTYPE,1.04,34.375
30,56.0,150.0,94.0,1041.5,8.0,DEFAULT_VEHTYPE,0.89,8.51063829787234
78,150.0,159.0,9.0,58.92,0.0,DEFAULT_VEHTYPE,1.02,0.0
79,154.0,159.0,5.0,26.09,0.0,DEFAULT_VEHTYPE,0.97,0.0
53,103.0,163.0,60.0,528.67,12.0,DEFAULT_VEHTYPE,0.9,20.0
69,133.0,163.0,30.0,414.9,0.0,DEFAULT_VEHTYPE,1.02,0.0
24,45.0,170.0,125.0,1180.49,37.0,DEFAULT_VEHTYPE,1.16,29.599999999999998
44,81.0,180.0,99.0,1424.95,32.0,DEFAULT_VEHTYPE,1.01,32.323232323232325
72,136.0,182.0,46.0,1041.08,0.0,DEFAULT_VEHTYPE,1.0,0.0
54,103.0,183.0,80.0,678.84,20.0,DEFAULT_VEHTYPE,1.03,25.0
63,123.0,183.0,60.0,797.95,0.0,DEFAULT_VEHTYPE,0.9,0.0
67,127.0,183.0,56.0,131.66,35.0,DEFAULT_VEHTYPE,0.85,62.5
37,71.0,189.0,118.0,1272.94,26.0,DEFAULT_VEHTYPE,0.93,22.033898305084744
60,116.0,194.0,78.0,680.38,17.0,DEFAULT_VEHTYPE,1.04,21.794871794871796
94,198.0,199.0,1.0,0.0,0.0,DEFAULT_VEHTYPE,1.04,0.0
65,124.0,205.0,81.0,1262.1,0.0,DEFAULT_VEHTYPE,0.85,0.0
91,177.0,208.0,31.0,315.12,0.0,DEFAULT_VEHTYPE,0.91,0.0
101,210.0,211.0,1.0,0.0,0.0,DEFAULT_VEHTYPE,0.97,0.0
71,135.0,220.0,85.0,628.74,24.0,DEFAULT_VEHTYPE,1.0,28.235294117647058
74,139.0,224.0,85.0,368.69,37.0,DEFAULT_VEHTYPE,1.14,43.529411764705884
95,192.0,225.0,33.0,356.6,0.0,DEFAULT_VEHTYPE,1.02,0.0
107,219.0,227.0,8.0,57.96,0.0,DEFAULT_VEHTYPE,1.03,0.0
73,136.0,235.0,99.0,641.15,38.0,DEFAULT_VEHTYPE,0.9,38.38383838383838
82,159.0,236.0,77.0,434.35,48.0,DEFAULT_VEHTYPE,1.08,62.33766233766234
90,176.0,236.0,60.0,661.21,0.0,DEFAULT_VEHTYPE,0.88,0.0
92,178.0,238.0,60.0,688.46,2.0,DEFAULT_VEHTYPE,0.91,3.3333333333333335
109,223.0,239.0,16.0,253.22,0.0,DEFAULT_VEHTYPE,1.01,0.0
105,218.0,243.0,25.0,435.76,0.0,DEFAULT_VEHTYPE,0.98,0.0
98,194.0,250.0,56.0,573.39,7.0,DEFAULT_VEHTYPE,1.02,12.5
